2022-01-26T13:48:54-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.542
2022-01-26T13:48:54-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 3.909
2022-01-26T13:48:54-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.264
2022-01-26T13:49:47-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 1.857
2022-01-26T13:49:57-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.080
2022-01-26T13:49:57-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 2.542
2022-01-26T13:49:57-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.617
2022-01-26T13:49:57-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 4.116
2022-01-26T13:49:57-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 5.046
2022-01-26T13:50:38-04:00, ::1, GET, /api/admins/logoBySubdomain?subdomain=testclient, HTTP/1.1, 304, 2.991
2022-01-26T13:50:43-04:00, ::1, OPTIONS, /api/admins/signIn, HTTP/1.1, 204, 0.085
2022-01-26T13:50:43-04:00, ::1, POST, /api/admins/signIn, HTTP/1.1, 200, 2.468
2022-01-26T13:50:43-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 2.267
2022-01-26T13:50:43-04:00, ::1, GET, /api/reports, HTTP/1.1, 304, 2.503
2022-01-26T13:50:43-04:00, ::1, GET, /api/admins/profile, HTTP/1.1, 304, 4.041
2022-01-26T13:50:55-04:00, ::1, GET, /api/reports/headers, HTTP/1.1, 304, 3.273
2022-01-26T13:50:55-04:00, ::1, GET, /api/reports/users, HTTP/1.1, 304, 4.493
